Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
ARG,1213,04/11/2012,20:15,Quilmes,Colon Santa FE,2.0,2.0,D,2.7,3.01,2.65
ARG,1213,04/11/2012,22:30,All Boys,River Plate,0.0,0.0,D,2.89,3.06,2.45
ARG,1213,05/11/2012,23:15,Tigre,Racing Club,1.0,1.0,D,3.06,2.95,2.43
ARG,1213,06/11/2012,00:30,Independiente,Lanus,0.0,2.0,A,3.09,2.95,2.4
ARG,1213,09/11/2012,20:00,Belgrano,Argentinos Jrs,0.0,0.0,D,1.91,3.24,4.03
ARG,1213,09/11/2012,22:10,Newells Old Boys,Quilmes,0.0,0.0,D,1.6,3.59,5.76
ARG,1213,10/11/2012,00:15,Velez Sarsfield,Godoy Cruz,2.0,1.0,H,1.54,3.74,6.19
ARG,1213,10/11/2012,19:10,San Lorenzo,All Boys,4.0,0.0,H,2.23,3.05,3.27
ARG,1213,10/11/2012,21:15,River Plate,Union de Santa Fe,2.0,0.0,H,1.54,3.71,6.13
ARG,1213,10/11/2012,23:20,Estudiantes L.P.,Atl. Rafaela,3.0,1.0,H,1.79,3.33,4.46
ARG,1213,11/11/2012,17:30,Lanus,Tigre,4.0,1.0,H,1.73,3.37,4.87
ARG,1213,11/11/2012,19:30,San Martin S.J.,Independiente,0.0,0.0,D,2.17,3.11,3.34
ARG,1213,11/11/2012,21:15,Colon Santa FE,Boca Juniors,0.0,0.0,D,2.26,3.11,3.15
ARG,1213,11/11/2012,23:30,Racing Club,Arsenal Sarandi,0.0,0.0,D,1.98,3.19,3.85
ARG,1213,13/11/2012,20:00,Argentinos Jrs,Estudiantes L.P.,2.0,1.0,H,2.95,2.98,2.46
ARG,1213,13/11/2012,22:15,Union de Santa Fe,San Lorenzo,2.0,2.0,D,2.97,3.03,2.43
ARG,1213,14/11/2012,00:30,Quilmes,Velez Sarsfield,0.0,1.0,A,4.05,3.2,1.92
ARG,1213,14/11/2012,20:00,All Boys,Colon Santa FE,1.0,1.0,D,2.25,3.06,3.23
ARG,1213,15/11/2012,00:30,Atl. Rafaela,River Plate,0.0,0.0,D,3.3,3.1,2.19
ARG,1213,15/11/2012,20:00,Godoy Cruz,Racing Club,0.0,1.0,A,2.42,2.97,3.03
ARG,1213,15/11/2012,22:15,Lanus,San Martin S.J.,2.0,1.0,H,1.53,3.77,6.34
ARG,1213,16/11/2012,00:30,Boca Juniors,Newells Old Boys,0.0,0.0,D,2.47,2.93,2.98
ARG,1213,16/11/2012,00:30,Tigre,Arsenal Sarandi,0.0,1.0,A,2.46,3.01,2.91
ARG,1213,17/11/2012,21:00,San Lorenzo,Atl. Rafaela,1.0,0.0,H,1.88,3.33,4.03
ARG,1213,17/11/2012,22:30,Estudiantes L.P.,Independiente,2.0,0.0,H,1.97,3.15,3.89
ARG,1213,18/11/2012,20:00,Arsenal Sarandi,Godoy Cruz,3.0,0.0,H,2.02,3.23,3.59
ARG,1213,18/11/2012,20:00,Colon Santa FE,Union de Santa Fe,2.0,0.0,H,1.68,3.53,4.98
ARG,1213,18/11/2012,20:00,San Martin S.J.,Tigre,2.0,2.0,D,2.09,3.15,3.5
ARG,1213,18/11/2012,22:15,Newells Old Boys,All Boys,1.0,2.0,A,1.61,3.49,5.73
ARG,1213,18/11/2012,22:30,Velez Sarsfield,Boca Juniors,0.0,1.0,A,1.99,3.21,3.77
ARG,1213,19/11/2012,20:10,Belgrano,Lanus,0.0,2.0,A,2.73,2.91,2.71
ARG,1213,19/11/2012,23:15,Racing Club,Quilmes,4.0,0.0,H,1.76,3.32,4.76
ARG,1213,20/11/2012,00:30,River Plate,Argentinos Jrs,0.0,0.0,D,1.77,3.35,4.62
ARG,1213,24/11/2012,20:00,Independiente,River Plate,2.0,2.0,D,3.03,3.04,2.35
ARG,1213,24/11/2012,20:00,Union de Santa Fe,Newells Old Boys,2.0,2.0,D,3.97,3.18,1.94
ARG,1213,24/11/2012,22:15,San Martin S.J.,Belgrano,1.0,1.0,D,2.68,2.99,2.66
ARG,1213,25/11/2012,00:30,Argentinos Jrs,San Lorenzo,1.0,2.0,A,2.69,2.94,2.7
ARG,1213,25/11/2012,20:00,All Boys,Velez Sarsfield,0.0,2.0,A,3.68,3.14,2.04
ARG,1213,25/11/2012,20:00,Lanus,Estudiantes L.P.,0.0,0.0,D,1.88,3.23,4.13
ARG,1213,25/11/2012,20:00,Tigre,Godoy Cruz,2.0,0.0,H,2.12,3.17,3.38
ARG,1213,25/11/2012,22:15,Boca Juniors,Racing Club,3.0,1.0,H,2.34,3.0,3.13
ARG,1213,26/11/2012,22:15,Quilmes,Arsenal Sarandi,1.0,2.0,A,2.65,3.0,2.67
ARG,1213,27/11/2012,00:30,Atl. Rafaela,Colon Santa FE,2.0,0.0,H,3.13,3.05,2.31
ARG,1213,28/11/2012,21:00,Independiente,Belgrano,1.0,2.0,A,2.53,2.95,2.88
ARG,1213,01/12/2012,20:00,Godoy Cruz,Quilmes,0.0,0.0,D,1.98,3.16,3.83
ARG,1213,01/12/2012,22:15,Colon Santa FE,Argentinos Jrs,3.0,1.0,H,1.83,3.28,4.34
ARG,1213,02/12/2012,00:30,Racing Club,All Boys,3.0,1.0,H,1.82,3.28,4.39
ARG,1213,02/12/2012,20:00,Belgrano,Tigre,1.0,0.0,H,1.71,3.48,4.82
ARG,1213,02/12/2012,20:00,River Plate,Lanus,1.0,0.0,H,2.59,3.0,2.77
ARG,1213,02/12/2012,20:00,Velez Sarsfield,Union de Santa Fe,2.0,0.0,H,1.3,4.72,10.08
ARG,1213,02/12/2012,22:15,San Lorenzo,Independiente,2.0,1.0,H,1.99,3.14,3.87
ARG,1213,02/12/2012,23:15,Arsenal Sarandi,Boca Juniors,1.0,0.0,H,2.91,3.08,2.44
ARG,1213,03/12/2012,20:00,Newells Old Boys,Atl. Rafaela,3.0,0.0,H,1.6,3.61,5.59
ARG,1213,03/12/2012,23:10,Estudiantes L.P.,San Martin S.J.,2.0,0.0,H,1.87,3.25,4.25
ARG,1213,07/12/2012,22:15,All Boys,Arsenal Sarandi,0.0,1.0,A,2.53,3.04,2.82
ARG,1213,08/12/2012,00:30,Union de Santa Fe,Racing Club,1.0,1.0,D,3.57,3.13,2.08
ARG,1213,08/12/2012,20:00,Argentinos Jrs,Newells Old Boys,1.0,3.0,A,2.87,3.0,2.5
ARG,1213,08/12/2012,20:00,Boca Juniors,Godoy Cruz,2.0,1.0,H,1.65,3.51,5.29
ARG,1213,08/12/2012,22:15,Atl. Rafaela,Velez Sarsfield,0.0,3.0,A,3.6,3.14,2.06
