Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
POL,25/11/2012,13:30,Slask Wroclaw,Jagiellonia,3.0,3.0,D,1.88,3.25,4.12
POL,25/11/2012,16:00,Ruch,Wisla,1.0,2.0,A,2.41,3.08,2.94
POL,26/11/2012,17:30,Podbeskidzie,Lech Poznan,2.0,3.0,A,4.72,3.33,1.77
POL,30/11/2012,17:00,Jagiellonia,GKS Belchatow,2.0,2.0,D,1.76,3.31,4.78
POL,30/11/2012,19:45,Lech Poznan,Slask Wroclaw,0.0,3.0,A,1.89,3.35,3.99
POL,01/12/2012,12:30,Pogon Szczecin,Podbeskidzie,2.0,0.0,H,1.83,3.3,4.34
POL,01/12/2012,14:45,Widzew Lodz,Korona Kielce,1.0,0.0,H,2.44,3.1,2.88
POL,01/12/2012,17:00,Wisla,Gornik Z.,1.0,3.0,A,2.37,3.05,3.05
POL,02/12/2012,13:30,Lechia Gdansk,Zaglebie,2.0,2.0,D,2.34,3.07,3.07
POL,02/12/2012,16:00,Legia,Ruch,3.0,0.0,H,1.4,4.2,7.86
POL,03/12/2012,17:30,Piast Gliwice,Polonia Warszawa,1.0,1.0,D,3.69,3.18,2.02
POL,07/12/2012,17:00,Ruch,Jagiellonia,1.0,1.0,D,2.3,3.08,3.12
POL,07/12/2012,19:45,Slask Wroclaw,Legia,1.0,0.0,H,3.32,3.19,2.16
POL,08/12/2012,12:30,GKS Belchatow,Piast Gliwice,1.0,3.0,A,2.44,3.11,2.88
POL,08/12/2012,14:45,Zaglebie,Wisla,4.0,1.0,H,2.34,3.08,3.06
POL,08/12/2012,17:00,Gornik Z.,Lechia Gdansk,2.0,0.0,H,2.04,3.17,3.63
POL,09/12/2012,13:30,Podbeskidzie,Widzew Lodz,2.0,2.0,D,2.72,3.05,2.61
POL,09/12/2012,16:00,Korona Kielce,Lech Poznan,0.0,1.0,A,2.77,3.09,2.53
POL,10/12/2012,17:30,Polonia Warszawa,Pogon Szczecin,2.0,0.0,H,1.69,3.5,4.98
POL,22/02/2013,17:00,Zaglebie,Pogon Szczecin,3.0,0.0,H,2.04,3.21,3.62
POL,22/02/2013,19:45,Polonia Warszawa,Lechia Gdansk,1.0,1.0,D,2.83,3.07,2.51
POL,23/02/2013,12:30,Podbeskidzie,Jagiellonia,4.0,0.0,H,3.13,3.12,2.25
POL,23/02/2013,14:45,Slask Wroclaw,Widzew Lodz,2.0,1.0,H,1.84,3.32,4.22
POL,23/02/2013,17:00,Korona Kielce,Legia,3.0,2.0,H,3.81,3.22,1.96
POL,24/02/2013,13:30,GKS Belchatow,Wisla,0.0,0.0,D,4.14,3.25,1.88
POL,24/02/2013,16:00,Ruch,Lech Poznan,0.0,4.0,A,3.0,3.02,2.41
POL,25/02/2013,17:30,Gornik Z.,Piast Gliwice,1.0,0.0,H,1.72,3.44,4.89
POL,01/03/2013,17:00,Lechia Gdansk,Pogon Szczecin,1.0,1.0,D,2.09,3.15,3.52
POL,01/03/2013,19:45,Lech Poznan,Polonia Warszawa,0.0,1.0,A,1.62,3.55,5.64
POL,02/03/2013,12:30,Ruch,Widzew Lodz,3.0,0.0,H,2.51,3.06,2.82
POL,02/03/2013,14:45,Piast Gliwice,Zaglebie,1.0,1.0,D,2.82,3.1,2.5
POL,02/03/2013,17:30,Legia,GKS Belchatow,0.0,0.0,D,1.22,5.48,14.29
POL,03/03/2013,13:30,Korona Kielce,Slask Wroclaw,1.0,1.0,D,2.59,3.05,2.73
POL,03/03/2013,16:00,Gornik Z.,Jagiellonia,1.0,2.0,A,1.71,3.37,5.04
POL,04/03/2013,17:30,Wisla,Podbeskidzie,0.0,0.0,D,1.94,3.24,3.93
POL,08/03/2013,17:00,Zaglebie,Jagiellonia,2.0,1.0,H,1.93,3.26,3.97
POL,08/03/2013,19:45,Podbeskidzie,Legia,1.0,2.0,A,4.96,3.52,1.68
POL,09/03/2013,12:30,GKS Belchatow,Widzew Lodz,0.0,0.0,D,2.81,3.04,2.52
POL,09/03/2013,14:45,Ruch,Slask Wroclaw,1.0,1.0,D,2.77,3.09,2.52
POL,09/03/2013,17:00,Polonia Warszawa,Wisla,1.0,2.0,A,2.16,3.13,3.36
POL,10/03/2013,13:30,Pogon Szczecin,Piast Gliwice,0.0,2.0,A,2.09,3.16,3.52
POL,10/03/2013,16:00,Gornik Z.,Lech Poznan,0.0,1.0,A,2.67,3.01,2.69
POL,11/03/2013,17:30,Lechia Gdansk,Korona Kielce,3.0,2.0,H,2.25,3.0,3.33
POL,15/03/2013,17:00,Jagiellonia,Polonia Warszawa,2.0,0.0,H,2.48,3.07,2.86
POL,15/03/2013,19:45,Legia,Gornik Z.,3.0,0.0,H,1.57,3.62,6.15
POL,16/03/2013,12:30,Korona Kielce,Ruch,2.0,1.0,H,2.12,3.11,3.51
POL,16/03/2013,14:45,Widzew Lodz,Zaglebie,0.0,0.0,D,2.61,3.07,2.71
POL,16/03/2013,17:00,Lech Poznan,GKS Belchatow,0.0,0.0,D,1.37,4.16,9.57
POL,17/03/2013,13:30,Slask Wroclaw,Podbeskidzie,1.0,1.0,D,1.64,3.57,5.25
POL,17/03/2013,16:00,Wisla,Pogon Szczecin,2.0,0.0,H,1.82,3.33,4.34
POL,18/03/2013,17:30,Piast Gliwice,Lechia Gdansk,2.0,0.0,H,2.34,3.06,3.09
POL,28/03/2013,17:00,Podbeskidzie,Korona Kielce,1.0,1.0,D,2.69,3.09,2.62
POL,28/03/2013,19:30,Gornik Z.,Widzew Lodz,3.0,1.0,H,1.81,3.3,4.5
POL,30/03/2013,12:30,Piast Gliwice,Jagiellonia,1.0,1.0,D,2.17,3.12,3.38
POL,30/03/2013,14:45,GKS Belchatow,Slask Wroclaw,1.0,0.0,H,3.42,3.16,2.14
POL,30/03/2013,17:00,Polonia Warszawa,Legia,1.0,2.0,A,3.46,3.23,2.09
POL,01/04/2013,12:30,Zaglebie,Ruch,2.0,3.0,A,1.89,3.32,4.04
POL,01/04/2013,15:00,Lechia Gdansk,Wisla,0.0,0.0,D,2.67,2.96,2.73
POL,01/04/2013,17:30,Pogon Szczecin,Lech Poznan,0.0,2.0,A,3.47,3.06,2.17
POL,05/04/2013,17:00,Ruch,Podbeskidzie,1.0,3.0,A,2.05,3.21,3.64
POL,05/04/2013,19:45,Lech Poznan,Lechia Gdansk,4.0,2.0,H,1.67,3.43,5.46
POL,06/04/2013,12:30,Jagiellonia,Pogon Szczecin,1.0,0.0,H,2.07,3.12,3.67
POL,06/04/2013,14:45,Slask Wroclaw,Gornik Z.,2.0,1.0,H,2.3,3.1,3.12
POL,06/04/2013,17:00,Legia,Zaglebie,2.0,0.0,H,1.46,3.97,7.19
POL,07/04/2013,13:30,Korona Kielce,GKS Belchatow,1.0,0.0,H,1.9,3.21,4.18
POL,07/04/2013,16:15,Wisla,Piast Gliwice,1.0,2.0,A,1.93,3.25,3.97
POL,08/04/2013,17:30,Widzew Lodz,Polonia Warszawa,3.0,2.0,H,2.78,3.0,2.6
POL,12/04/2013,17:00,Pogon Szczecin,Widzew Lodz,1.0,1.0,D,2.38,3.05,3.03
POL,12/04/2013,19:45,Zaglebie,Korona Kielce,2.0,1.0,H,2.1,3.18,3.5
POL,13/04/2013,12:30,GKS Belchatow,Ruch,0.0,3.0,A,2.53,3.07,2.76
POL,13/04/2013,14:45,Polonia Warszawa,Slask Wroclaw,2.0,2.0,D,2.56,3.09,2.72
POL,13/04/2013,17:00,Wisla,Legia,1.0,2.0,A,3.7,3.19,2.02
POL,14/04/2013,13:30,Gornik Z.,Podbeskidzie,0.0,1.0,A,1.71,3.47,4.89
POL,14/04/2013,16:00,Lechia Gdansk,Jagiellonia,2.0,3.0,A,2.03,3.19,3.71
POL,15/04/2013,17:30,Piast Gliwice,Lech Poznan,0.0,3.0,A,3.78,3.27,1.96
POL,19/04/2013,17:00,Widzew Lodz,Piast Gliwice,1.0,1.0,D,2.35,3.15,3.01
POL,19/04/2013,19:45,Korona Kielce,Gornik Z.,1.0,0.0,H,2.21,3.16,3.26
POL,20/04/2013,12:30,Podbeskidzie,GKS Belchatow,1.0,1.0,D,1.81,3.36,4.46
POL,20/04/2013,14:45,Jagiellonia,Wisla,2.0,2.0,D,2.15,3.2,3.33
POL,20/04/2013,17:15,Legia,Pogon Szczecin,3.0,1.0,H,1.3,4.84,10.25
POL,21/04/2013,13:30,Slask Wroclaw,Lechia Gdansk,1.0,1.0,D,1.94,3.26,3.95
POL,21/04/2013,16:00,Lech Poznan,Zaglebie,3.0,1.0,H,1.59,3.58,5.98
POL,22/04/2013,17:30,Ruch,Polonia Warszawa,2.0,1.0,H,2.28,3.16,3.11
POL,26/04/2013,17:00,Pogon Szczecin,Korona Kielce,2.0,1.0,H,2.25,3.1,3.21
POL,26/04/2013,19:45,Wisla,Widzew Lodz,1.0,0.0,H,1.96,3.27,3.81
