Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,FTR,team_elo,opp_elo,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_shots,opp_shots,team_shots_target,opp_shots_target,AvgH,AvgD,AvgA
1,2122,20210821,15,5,102,62,1,1424,1466,0.0,0.0,0,0,0.0,3.0,4.0,8.0,1.0,3.0,2.61,3.18,2.9
1,2122,20210821,15,5,199,128,1,1355,1366,0.0,0.0,0,0,0.0,3.0,10.0,14.0,3.0,6.0,2.37,3.47,3.03
1,2122,20210821,15,5,217,242,0,1681,1401,0.0,0.0,0,3,0.0,0.0,18.0,14.0,4.0,3.0,1.11,10.58,25.64
4,2122,20210821,16,5,7,216,2,1348,1408,0.0,0.0,0,1,0.0,1.0,11.0,6.0,4.0,2.0,2.3,3.19,3.36
2,2122,20210821,16,5,229,202,2,1576,1591,0.0,0.0,1,2,0.44,1.44,13.33,17.11,3.0,6.56,1.77,3.71,4.67
1,2122,20210821,17,5,65,354,0,1497,1387,0.0,0.0,3,0,3.0,3.0,14.0,13.0,8.0,7.0,1.74,3.52,5.53
3,2122,20210821,17,5,178,150,0,1621,1382,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,5.16,8.94
0,2122,20210821,17,5,204,212,0,1583,1443,0.0,0.0,1,1,1.0,1.0,16.0,11.0,4.0,5.0,2.32,3.62,2.95
3,2122,20210821,17,5,348,299,2,1421,1432,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,3.43,2.69
4,2122,20210821,18,5,124,349,1,1414,1516,0.0,0.0,1,1,1.0,1.0,10.0,14.0,3.0,4.0,3.07,3.38,2.36
4,2122,20210821,18,5,157,343,1,1374,1516,0.0,0.0,1,0,1.0,3.0,6.0,4.0,1.0,2.0,2.53,3.25,2.92
3,2122,20210821,19,5,123,195,2,1394,1543,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,3.9,1.73
3,2122,20210821,19,5,335,31,2,1491,1530,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,4.23,1.6
2,2122,20210821,20,5,315,206,1,1408,1555,0.0,0.0,2,4,1.44,0.44,15.56,14.11,5.22,4.22,3.05,3.2,2.44
4,2122,20210821,21,5,32,38,1,1568,1679,0.0,0.0,1,0,1.0,3.0,9.0,13.0,3.0,8.0,4.14,3.63,1.9
2,2122,20210822,12,6,211,91,1,1505,1394,0.0,0.0,1,0,0.44,4.33,12.0,18.44,3.44,8.89,1.6,4.21,5.39
2,2122,20210822,14,6,57,18,1,1408,1373,0.0,0.0,1,0,1.0,4.33,8.89,11.22,3.78,4.22,2.82,3.26,2.57
0,2122,20210822,14,6,173,342,1,1435,1532,0.0,0.0,3,1,3.0,1.0,15.0,8.0,8.0,5.0,2.06,3.58,3.58
2,2122,20210822,14,6,222,286,1,1381,1439,0.0,0.0,1,2,0.44,1.44,10.89,12.78,5.0,5.0,2.35,2.97,3.46
2,2122,20210822,14,6,230,209,0,1471,1390,0.0,0.0,1,1,1.0,3.44,11.89,6.44,3.22,2.44,2.22,3.27,3.42
1,2122,20210822,14,6,308,218,1,1401,1551,0.0,0.0,0,0,0.0,3.0,6.0,16.0,3.0,8.0,5.36,4.26,1.61
2,2122,20210822,14,6,326,340,1,1498,1351,0.0,0.0,0,6,0.0,0.0,7.56,10.0,1.56,3.67,2.08,3.35,3.7
1,2122,20210822,14,6,364,336,2,1417,1574,0.0,0.0,0,0,0.0,3.0,17.0,13.0,3.0,3.0,3.2,3.15,2.43
1,2122,20210822,16,6,27,87,2,1614,1545,0.0,0.0,0,0,0.0,3.0,22.0,13.0,4.0,6.0,4.76,3.74,1.78
0,2122,20210822,16,6,44,130,0,1582,1426,0.0,0.0,1,0,1.0,3.0,20.0,15.0,10.0,5.0,1.13,9.35,19.76
2,2122,20210822,16,6,287,236,0,1624,1371,0.0,0.0,2,1,1.44,3.44,7.78,8.33,2.0,4.33,1.87,3.57,4.25
4,2122,20210822,16,6,306,346,0,1553,1416,0.0,0.0,0,3,0.0,0.0,11.0,4.0,3.0,3.0,1.47,4.38,7.33
3,2122,20210822,17,6,54,294,0,1444,1293,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,4.04,5.15
3,2122,20210822,17,6,341,181,1,1427,1595,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,4.35,1.47
4,2122,20210822,18,6,33,119,0,1601,1402,0.0,0.0,3,1,3.0,1.0,13.0,8.0,4.0,2.0,1.23,6.07,15.8
3,2122,20210822,19,6,237,347,0,1656,1415,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,6.38,11.79
3,2122,20210822,19,6,292,137,0,1546,1533,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,3.85,4.5
4,2122,20210822,21,6,203,284,1,1395,1686,0.0,0.0,1,0,1.0,3.0,12.0,19.0,3.0,7.0,4.97,4.23,1.65
3,2122,20210823,17,0,75,314,1,1396,1387,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,3.61,3.78
4,2122,20210823,19,0,152,301,2,1414,1530,0.0,0.0,0,0,0.0,3.0,22.0,21.0,4.0,8.0,3.49,3.14,2.26
3,2122,20210823,19,0,296,224,2,1360,1594,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,3.5,1.96
1,2122,20210823,20,0,359,201,0,1427,1427,0.0,0.0,3,0,3.0,3.0,8.0,9.0,9.0,5.0,2.58,3.44,2.75
4,2122,20210823,21,0,249,82,1,1425,1384,0.0,0.0,1,3,1.0,0.0,14.0,10.0,1.0,2.0,2.66,3.19,2.8
3,2122,20210827,17,4,341,347,0,1396,1329,0.0,0.0,1,3,1.0,0.0,11.0,8.0,6.0,4.0,1.77,3.67,4.95
0,2122,20210827,19,4,108,173,0,1599,1475,0.0,0.0,3,1,1.33,2.33,15.89,10.56,4.22,5.22,1.44,5.23,6.51
4,2122,20210827,19,4,216,124,0,1384,1376,0.0,0.0,4,2,3.44,1.44,9.33,12.22,2.0,3.0,2.64,2.95,3.08
3,2122,20210827,19,4,348,178,2,1428,1627,0.0,0.0,0,0,0.0,3.0,12.0,17.0,4.0,8.0,5.58,4.17,1.61
2,2122,20210827,20,4,236,211,2,1430,1477,0.0,0.0,4,5,2.0,1.25,6.58,15.67,3.0,5.75,4.68,3.98,1.73
4,2122,20210827,21,4,343,7,0,1503,1396,0.0,0.0,4,6,2.33,0.0,11.78,9.89,4.78,4.0,1.78,3.58,5.02
1,2122,20210828,12,5,217,27,0,1726,1657,0.0,0.0,3,6,3.0,0.0,16.89,13.11,4.0,3.44,1.26,6.16,11.99
0,2122,20210828,14,5,35,204,2,1391,1630,0.0,0.0,1,1,1.0,3.44,5.33,14.33,0.0,5.11,4.75,3.87,1.74
0,2122,20210828,14,5,48,118,1,1410,1482,0.0,0.0,2,4,1.44,1.0,9.44,16.44,2.89,4.11,3.41,3.63,2.11
0,2122,20210828,14,5,130,53,0,1437,1381,0.0,0.0,3,3,1.33,3.0,12.22,8.11,3.89,3.22,1.88,3.73,4.11
0,2122,20210828,14,5,215,159,0,1424,1332,0.0,0.0,3,4,1.33,1.0,12.0,14.67,2.56,4.56,1.71,3.97,4.9
0,2122,20210828,14,5,327,142,2,1428,1529,0.0,0.0,3,1,1.33,3.44,19.44,10.67,9.44,4.89,2.23,3.53,3.22
1,2122,20210828,15,5,30,62,1,1563,1404,0.0,0.0,3,1,3.0,2.33,10.44,11.33,2.0,3.0,2.0,3.57,3.84
1,2122,20210828,15,5,65,128,2,1449,1357,0.0,0.0,6,1,4.33,2.33,13.44,15.67,5.22,7.11,2.35,3.25,3.27
1,2122,20210828,15,5,238,308,1,1515,1387,0.0,0.0,0,4,0.0,1.0,12.56,7.11,1.89,3.0,2.52,3.47,2.82
1,2122,20210828,15,5,242,201,2,1331,1441,0.0,0.0,0,3,0.0,1.33,6.78,6.78,1.33,2.78,4.34,3.55,1.9
1,2122,20210828,15,5,359,102,1,1473,1362,0.0,0.0,6,4,4.33,1.0,10.78,5.67,7.89,1.56,1.58,4.02,6.29
4,2122,20210828,16,5,82,32,2,1406,1457,0.0,0.0,1,2,1.0,1.44,6.67,12.89,0.89,5.22,2.48,3.2,3.05
2,2122,20210828,16,5,240,57,0,1558,1400,0.0,0.0,4,5,3.44,1.58,11.44,11.0,4.78,4.25,1.65,3.98,5.26
3,2122,20210828,17,5,31,54,1,1536,1537,0.0,0.0,3,0,3.0,3.0,6.0,18.0,2.0,7.0,1.33,5.59,8.73
0,2122,20210828,17,5,44,172,0,1676,1387,0.0,0.0,4,6,3.44,0.0,18.89,11.56,7.78,4.44,1.18,7.96,14.67
3,2122,20210828,17,5,195,314,0,1558,1336,0.0,0.0,3,1,3.0,1.0,8.0,13.0,5.0,6.0,1.36,5.23,8.74
1,2122,20210828,17,5,208,87,1,1704,1529,0.0,0.0,6,0,4.33,4.33,23.44,18.0,8.56,5.44,2.5,3.33,2.95
4,2122,20210828,18,5,119,301,1,1344,1479,0.0,0.0,1,0,0.44,4.33,5.78,14.33,2.0,5.22,5.24,3.46,1.77
4,2122,20210828,18,5,306,203,0,1569,1382,0.0,0.0,3,2,3.0,1.44,12.11,9.78,5.78,3.56,1.57,4.2,5.94
3,2122,20210828,19,5,137,335,0,1464,1424,0.0,0.0,0,3,0.0,0.0,11.0,19.0,8.0,8.0,2.21,3.45,3.31
3,2122,20210828,19,5,181,123,2,1539,1471,0.0,0.0,1,3,1.0,0.0,11.0,16.0,4.0,5.0,1.26,6.25,11.51
2,2122,20210828,20,5,220,315,0,1539,1373,0.0,0.0,4,3,2.33,1.83,14.89,13.17,4.22,3.92,1.74,3.82,4.77
4,2122,20210828,21,5,47,284,2,1550,1699,0.0,0.0,2,1,1.44,2.33,13.33,19.0,4.33,5.89,4.21,3.84,1.84
2,2122,20210829,12,6,340,229,2,1338,1540,0.0,0.0,1,7,1.0,0.25,9.92,11.5,4.58,2.58,4.29,3.67,1.85
2,2122,20210829,14,6,18,287,0,1344,1552,0.0,0.0,7,2,3.5,3.83,9.08,10.33,3.75,3.25,2.9,3.23,2.55
1,2122,20210829,14,6,70,199,1,1365,1344,0.0,0.0,0,4,0.0,1.0,11.22,13.89,3.0,3.56,3.07,3.51,2.33
2,2122,20210829,14,6,91,222,1,1351,1394,0.0,0.0,7,5,3.5,1.25,17.83,10.5,7.25,4.58,1.79,3.68,4.61
2,2122,20210829,14,6,202,209,1,1577,1397,0.0,0.0,5,4,3.83,2.0,11.75,5.75,4.67,3.08,1.77,3.65,4.82
2,2122,20210829,14,6,326,64,0,1456,1459,0.0,0.0,1,5,1.0,0.83,10.25,11.17,2.58,4.92,2.03,3.37,3.85
1,2122,20210829,14,6,336,354,0,1532,1352,0.0,0.0,6,3,4.33,1.33,10.22,11.33,4.67,3.67,1.44,4.48,8.42
0,2122,20210829,14,6,342,212,0,1530,1402,0.0,0.0,2,4,1.44,0.44,9.67,11.0,6.67,5.56,2.58,3.3,2.82
4,2122,20210829,16,6,38,152,0,1616,1406,0.0,0.0,4,6,2.33,0.0,10.78,16.44,5.22,1.78,1.4,4.83,8.36
2,2122,20210829,16,6,206,230,0,1580,1418,0.0,0.0,2,4,1.25,3.58,11.5,20.33,4.92,6.5,1.71,3.84,4.98
0,2122,20210829,16,6,363,280,0,1429,1551,0.0,0.0,6,3,4.33,3.0,16.0,21.11,5.67,7.0,3.46,3.55,2.11
1,2122,20210829,16,6,364,218,2,1416,1574,0.0,0.0,0,1,0.0,2.33,21.44,15.44,4.67,5.78,4.91,3.48,1.82
3,2122,20210829,17,6,150,237,2,1444,1673,0.0,0.0,0,0,0.0,3.0,11.0,13.0,5.0,4.0,6.06,4.31,1.55
3,2122,20210829,17,6,299,296,1,1492,1339,0.0,0.0,3,3,3.0,0.0,15.0,11.0,8.0,3.0,2.02,3.68,3.61
4,2122,20210829,18,6,73,249,2,1392,1436,0.0,0.0,2,2,1.44,1.44,7.56,14.56,2.56,4.33,3.15,3.07,2.5
4,2122,20210829,18,6,346,157,0,1454,1311,0.0,0.0,0,2,0.0,1.44,6.78,7.67,1.89,1.56,2.59,3.2,2.89
3,2122,20210829,19,6,224,75,0,1615,1340,0.0,0.0,3,1,3.0,1.0,10.0,16.0,4.0,10.0,1.44,4.74,7.29
2,2122,20210829,19,6,286,262,2,1494,1701,0.0,0.0,3,0,1.83,5.5,12.58,13.33,4.25,6.08,15.48,7.74,1.17
3,2122,20210829,19,6,294,292,2,1368,1522,0.0,0.0,0,0,0.0,3.0,8.0,11.0,4.0,6.0,5.55,4.24,1.6
4,2122,20210829,21,6,33,349,1,1629,1533,0.0,0.0,6,2,4.33,1.44,10.22,12.89,4.0,2.89,1.78,3.41,5.28
