Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,team_form_team,team_form_opp,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
2,19000101,0,61,75,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,13,6,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,18,123,31,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,26,126,19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,30,47,60,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,32,61,39,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,36,138,76,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,75,147,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,77,23,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,103,124,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,105,84,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,115,167,36,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,137,114,74,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,6,115,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
