Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_elo,opp_elo,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_avg_goals_for,team_avg_goals_against,opp_avg_goals_for,opp_avg_goals_against,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
12,1920,20190803,15,5,76,324,63,0,0,1651,1418,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,7.16,17.17
12,1920,20190803,15,5,164,325,60,0,0,1494,1369,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,4.08,6.58
12,1920,20190803,15,5,206,233,65,1,1,1397,1396,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,3.04,2.72
12,1920,20190803,15,5,296,155,103,0,0,1373,1306,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,3.39,4.04
6,1920,20190803,15,5,200,153,74,0,0,1535,1441,0.0,0.0,3,1,3.0,1.0,1.0,2.0,3.0,3.0,14.0,22.0,5.0,8.0,1.0,1.0,2.2,3.01,3.54
4,1920,20190803,17,5,245,371,17,2,2,1355,1360,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,3.29,2.97
0,1920,20190803,17,5,329,367,74,0,0,1474,1388,0.0,0.0,3,3,3.0,0.0,0.0,2.0,2.0,0.0,14.0,7.0,9.0,2.0,1.0,1.0,1.49,4.53,5.8
10,1920,20190803,17,5,120,151,74,2,2,1381,1438,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,3.47,2.25
10,1920,20190803,17,5,361,5,74,1,1,1527,1762,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77,4.63,1.49
0,1920,20190803,19,5,186,79,74,1,1,1342,1385,0.0,0.0,0,1,0.0,1.0,2.0,1.0,1.0,1.0,8.0,7.0,4.0,4.0,1.0,1.0,2.3,3.43,2.95
