Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,FTR,team_elo,opp_elo,team_xg,opp_xg,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_avg_goals_for,team_avg_goals_against,opp_avg_goals_for,opp_avg_goals_against,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
1,2122,20210815,16,6,21,14,0,1524,1677,0.298,0.281,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,4.1,1.64
0,2122,20210815,16,6,53,63,0,1454,1372,0.449,0.369,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,3.34,2.8
2,2122,20210815,16,6,71,103,1,1641,1504,0.61,0.566,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,11.0,20.0,6.0,3.0,1.0,1.0,2.05,3.52,3.61
4,2122,20210815,16,6,44,31,2,1406,1633,0.234,0.281,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,3.25,2.01
2,2122,20210815,19,6,80,40,1,1550,1487,0.234,0.149,0.0,0.0,3,3,3.0,0.0,2.0,3.0,2.0,0.0,21.0,10.0,7.0,6.0,1.0,1.0,1.54,4.3,6.02
4,2122,20210815,19,6,34,101,0,1654,1574,0.685,0.208,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,4.06,4.44
4,2122,20210815,21,6,100,113,0,1487,1417,0.685,0.208,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,4.54,7.6
4,2122,20210816,19,0,116,60,1,1538,1349,0.37,0.105,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,4.24,6.25
4,2122,20210816,21,0,50,30,1,1379,1457,0.234,0.208,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78,3.3,2.09
0,2122,20210820,19,4,91,105,0,1604,1456,0.853,0.369,0.0,0.0,0,0,0.0,3.0,1.0,0.0,1.0,5.0,15.0,30.0,2.0,15.0,1.0,1.0,1.42,4.98,7.24
2,2122,20210820,20,4,41,90,2,1482,1657,0.298,0.661,0.0,0.0,2,0,1.44,4.33,1.0,1.0,2.0,2.5,11.33,11.44,6.33,4.67,1.0,1.0,10.79,6.06,1.27
4,2122,20210820,20,4,36,42,1,1506,1426,0.61,0.208,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,10.0,7.0,1.0,2.0,1.0,1.0,1.52,4.3,6.69
1,2122,20210821,12,5,12,5,0,1621,1357,0.751,0.208,0.0,0.0,3,3,3.0,0.0,0.0,3.0,2.0,1.0,19.0,14.0,8.0,3.0,1.0,1.0,1.21,6.97,14.41
0,2122,20210821,14,5,38,78,0,1413,1460,0.449,0.208,0.0,0.0,0,0,0.0,3.0,1.0,0.0,0.0,1.0,7.0,7.0,1.0,2.0,1.0,1.0,2.66,3.51,2.6
0,2122,20210821,14,5,49,32,1,1477,1379,0.449,0.073,0.0,0.0,0,3,0.0,0.0,5.0,2.0,4.0,0.0,12.0,7.0,3.0,0.0,1.0,1.0,1.61,4.38,5.1
0,2122,20210821,14,5,55,48,0,1542,1623,0.37,0.149,0.0,0.0,1,0,1.0,3.0,0.0,0.0,2.0,5.0,14.0,12.0,6.0,7.0,1.0,1.0,5.5,4.59,1.55
0,2122,20210821,14,5,61,37,1,1482,1499,0.449,0.149,0.0,0.0,0,1,0.0,1.0,5.0,1.0,0.0,0.0,8.0,10.0,4.0,4.0,1.0,1.0,2.57,3.39,2.77
0,2122,20210821,14,5,63,118,2,1361,1494,0.37,0.208,0.0,0.0,0,0,0.0,3.0,3.0,1.0,0.0,1.0,11.0,21.0,5.0,9.0,1.0,1.0,3.06,3.44,2.33
1,2122,20210821,15,5,1,16,0,1570,1551,0.234,0.105,0.0,0.0,0,3,0.0,0.0,3.0,2.0,4.0,2.0,11.0,17.0,2.0,3.0,1.0,1.0,1.82,3.92,4.25
1,2122,20210821,15,5,7,3,1,1436,1550,0.234,0.208,0.0,0.0,0,0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,8.0,1.0,3.0,1.0,1.0,2.61,3.18,2.9
1,2122,20210821,15,5,10,8,1,1355,1421,0.37,0.661,0.0,0.0,0,0,0.0,3.0,5.0,1.0,1.0,3.0,10.0,14.0,3.0,6.0,1.0,1.0,2.37,3.47,3.03
1,2122,20210821,15,5,14,17,0,1684,1481,0.37,0.073,0.0,0.0,0,3,0.0,0.0,1.0,0.0,3.0,0.0,18.0,14.0,4.0,3.0,1.0,1.0,1.11,10.58,25.64
2,2122,20210821,16,5,83,71,2,1484,1650,0.234,0.149,0.0,0.0,1,2,0.44,1.44,1.0,0.5,1.5,1.5,13.33,17.11,3.0,6.56,1.0,1.0,1.77,3.71,4.67
4,2122,20210821,16,5,26,79,2,1414,1476,0.37,0.149,0.0,0.0,0,1,0.0,1.0,1.0,4.0,1.0,1.0,11.0,6.0,4.0,2.0,1.0,1.0,2.3,3.19,3.36
1,2122,20210821,17,5,4,22,0,1541,1503,0.298,0.105,0.0,0.0,3,0,3.0,3.0,1.0,2.0,2.0,3.0,14.0,13.0,8.0,7.0,1.0,1.0,1.74,3.52,5.53
0,2122,20210821,17,5,73,77,0,1560,1438,0.53,0.466,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,16.0,11.0,4.0,5.0,1.0,1.0,2.32,3.62,2.95
3,2122,20210821,17,5,65,57,0,1624,1455,0.685,0.369,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,5.16,8.94
3,2122,20210821,17,5,115,98,2,1353,1419,0.37,0.661,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,3.43,2.69
4,2122,20210821,18,5,52,116,1,1421,1532,0.298,0.149,0.0,0.0,1,1,1.0,1.0,0.0,0.0,0.0,0.0,10.0,14.0,3.0,4.0,1.0,1.0,3.07,3.38,2.36
4,2122,20210821,18,5,60,111,1,1353,1442,0.234,0.566,0.0,0.0,1,0,1.0,3.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,2.0,1.0,1.0,2.53,3.25,2.92
3,2122,20210821,19,5,51,68,2,1416,1595,0.449,0.369,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,3.9,1.73
3,2122,20210821,19,5,106,29,2,1478,1540,0.685,0.149,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,4.23,1.6
2,2122,20210821,20,5,103,74,1,1505,1543,0.234,0.466,0.0,0.0,2,4,1.44,0.44,1.5,1.5,3.5,1.5,15.56,14.11,5.22,4.22,1.0,1.0,3.05,3.2,2.44
4,2122,20210821,21,5,30,34,1,1464,1646,0.61,0.208,0.0,0.0,1,0,1.0,3.0,0.0,0.0,2.0,4.0,9.0,13.0,3.0,8.0,1.0,1.0,4.14,3.63,1.9
2,2122,20210822,12,6,76,45,1,1517,1535,0.751,0.369,0.0,0.0,1,0,0.44,4.33,2.0,0.5,1.0,1.0,12.0,18.44,3.44,8.89,1.0,1.0,1.6,4.21,5.39
1,2122,20210822,14,6,20,15,1,1330,1594,0.298,0.281,0.0,0.0,0,0,0.0,3.0,3.0,1.0,1.0,5.0,6.0,16.0,3.0,8.0,1.0,1.0,5.36,4.26,1.61
1,2122,20210822,14,6,24,21,2,1400,1534,0.53,0.466,0.0,0.0,0,0,0.0,3.0,1.0,0.0,0.0,1.0,17.0,13.0,3.0,3.0,1.0,1.0,3.2,3.15,2.43
0,2122,20210822,14,6,64,110,1,1430,1519,0.298,0.661,0.0,0.0,3,1,3.0,1.0,0.0,4.0,1.0,1.0,15.0,8.0,8.0,5.0,1.0,1.0,2.06,3.58,3.58
2,2122,20210822,14,6,40,28,1,1481,1345,0.449,0.208,0.0,0.0,1,0,1.0,4.33,1.0,2.0,1.0,1.5,8.89,11.22,3.78,4.22,1.0,1.0,2.82,3.26,2.57
2,2122,20210822,14,6,81,93,1,1401,1465,0.37,0.208,0.0,0.0,1,2,0.44,1.44,2.5,1.5,1.5,1.5,10.89,12.78,5.0,5.0,1.0,1.0,2.35,2.97,3.46
2,2122,20210822,14,6,84,75,0,1481,1461,0.853,0.281,0.0,0.0,1,1,1.0,3.44,2.5,3.0,0.5,1.0,11.89,6.44,3.22,2.44,1.0,1.0,2.22,3.27,3.42
2,2122,20210822,14,6,104,108,1,1408,1309,0.37,0.466,0.0,0.0,0,6,0.0,0.0,2.0,2.0,1.0,1.5,7.56,10.0,1.56,3.67,1.0,1.0,2.08,3.35,3.7
1,2122,20210822,16,6,0,6,2,1597,1465,0.298,0.369,0.0,0.0,0,0,0.0,3.0,2.0,0.0,0.0,3.0,22.0,13.0,4.0,6.0,1.0,1.0,4.76,3.74,1.78
0,2122,20210822,16,6,35,53,0,1629,1445,0.53,0.208,0.0,0.0,1,0,1.0,3.0,1.0,1.0,1.0,3.0,20.0,15.0,10.0,5.0,1.0,1.0,1.13,9.35,19.76
2,2122,20210822,16,6,94,86,0,1556,1387,0.449,0.105,0.0,0.0,2,1,1.44,3.44,1.0,1.0,0.5,1.5,7.78,8.33,2.0,4.33,1.0,1.0,1.87,3.57,4.25
4,2122,20210822,16,6,101,113,0,1582,1408,0.685,0.105,0.0,0.0,0,3,0.0,0.0,4.0,2.0,0.0,3.0,11.0,4.0,3.0,3.0,1.0,1.0,1.47,4.38,7.33
3,2122,20210822,17,6,39,96,0,1534,1402,0.61,0.281,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,4.04,5.15
3,2122,20210822,17,6,109,66,1,1406,1558,0.53,0.281,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21,4.35,1.47
4,2122,20210822,18,6,31,50,0,1638,1373,0.37,0.149,0.0,0.0,3,1,3.0,1.0,1.0,2.0,0.0,0.0,13.0,8.0,4.0,2.0,1.0,1.0,1.23,6.07,15.8
3,2122,20210822,19,6,87,114,0,1652,1490,0.37,0.281,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,6.38,11.79
3,2122,20210822,19,6,95,54,0,1538,1507,0.53,0.661,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,3.85,4.5
4,2122,20210822,21,6,72,92,1,1501,1622,0.37,0.369,0.0,0.0,1,0,1.0,3.0,1.0,1.0,4.0,1.0,12.0,19.0,3.0,7.0,1.0,1.0,4.97,4.23,1.65
3,2122,20210823,17,0,43,102,1,1442,1371,0.807,0.466,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,3.61,3.78
3,2122,20210823,19,0,97,82,2,1300,1587,0.298,0.281,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,3.5,1.96
4,2122,20210823,19,0,58,100,2,1409,1499,0.137,0.208,0.0,0.0,0,0,0.0,3.0,1.0,0.0,0.0,3.0,22.0,21.0,4.0,8.0,1.0,1.0,3.49,3.14,2.26
